iter	Passed	Remaining
0	11	11213
1	22	11294
2	37	12554
3	49	12347
4	60	12063
5	71	11923
6	83	11893
7	95	11795
8	106	11699
9	118	11707
10	130	11718
11	142	11745
12	154	11742
13	167	11768
14	178	11745
15	190	11699
16	202	11693
17	213	11661
18	225	11635
19	236	11574
20	248	11566
21	259	11545
22	270	11501
23	281	11462
24	293	11429
25	305	11442
26	318	11466
27	330	11460
28	343	11484
29	354	11458
30	366	11446
31	378	11436
32	389	11420
33	400	11376
34	411	11356
35	423	11339
36	434	11315
37	446	11298
38	458	11298
39	470	11281
40	480	11249
41	492	11243
42	504	11236
43	516	11213
44	527	11200
45	539	11188
46	551	11179
47	563	11173
48	575	11162
49	587	11166
50	599	11153
51	612	11160
52	624	11161
53	636	11155
54	648	11138
55	660	11128
56	672	11119
57	686	11149
58	698	11143
59	710	11138
60	722	11122
61	734	11106
62	746	11106
63	760	11115
64	772	11105
65	783	11088
66	794	11069
67	814	11158
68	825	11142
69	837	11124
70	848	11108
71	861	11109
72	873	11097
73	885	11075
74	897	11066
75	909	11061
76	923	11068
77	935	11055
78	946	11033
79	957	11010
80	969	10994
81	980	10973
82	991	10951
83	1002	10934
84	1013	10911
85	1025	10899
86	1037	10886
87	1051	10902
88	1064	10892
89	1075	10877
90	1086	10856
91	1098	10842
92	1109	10823
93	1121	10806
94	1133	10799
95	1144	10780
96	1156	10761
97	1167	10748
98	1179	10733
99	1190	10716
100	1203	10708
101	1214	10695
102	1226	10679
103	1237	10662
104	1249	10646
105	1260	10628
106	1271	10615
107	1283	10603
108	1295	10586
109	1306	10568
110	1318	10557
111	1331	10553
112	1342	10537
113	1354	10523
114	1365	10510
115	1378	10503
116	1389	10487
117	1401	10475
118	1412	10459
119	1424	10443
120	1435	10427
121	1446	10410
122	1457	10392
123	1466	10363
124	1477	10345
125	1489	10334
126	1501	10318
127	1512	10303
128	1524	10294
129	1536	10284
130	1548	10275
131	1560	10261
132	1573	10257
133	1586	10251
134	1597	10236
135	1609	10222
136	1620	10207
137	1631	10193
138	1643	10182
139	1654	10165
140	1666	10150
141	1680	10152
142	1692	10141
143	1704	10131
144	1716	10119
145	1727	10105
146	1738	10089
147	1749	10072
148	1760	10056
149	1772	10044
150	1783	10030
151	1795	10014
152	1806	10002
153	1817	9984
154	1828	9969
155	1840	9957
156	1852	9948
157	1866	9945
158	1878	9938
159	1891	9931
160	1904	9922
161	1916	9912
162	1928	9900
163	1939	9884
164	1950	9870
165	1961	9855
166	1972	9839
167	1984	9827
168	1995	9812
169	2007	9800
170	2019	9792
171	2032	9785
172	2045	9776
173	2056	9763
174	2067	9748
175	2080	9739
176	2091	9726
177	2103	9714
178	2114	9699
179	2126	9687
180	2138	9674
181	2149	9662
182	2162	9652
183	2174	9642
184	2186	9631
185	2197	9618
186	2209	9607
187	2221	9594
188	2232	9579
189	2243	9565
190	2255	9553
191	2266	9538
192	2278	9525
193	2290	9516
194	2302	9503
195	2320	9518
196	2333	9513
197	2349	9515
198	2363	9514
199	2382	9531
200	2394	9519
201	2409	9517
202	2421	9505
203	2432	9489
204	2443	9477
205	2456	9466
206	2467	9451
207	2479	9442
208	2491	9430
209	2502	9414
210	2514	9401
211	2525	9388
212	2537	9374
213	2548	9359
214	2559	9346
215	2571	9332
216	2582	9319
217	2594	9306
218	2605	9291
219	2617	9281
220	2629	9269
221	2643	9264
222	2654	9249
223	2666	9236
224	2677	9223
225	2690	9214
226	2701	9200
227	2712	9184
228	2723	9170
229	2734	9154
230	2746	9142
231	2757	9127
232	2768	9113
233	2780	9102
234	2792	9090
235	2804	9078
236	2815	9065
237	2828	9054
238	2840	9044
239	2852	9031
240	2863	9019
241	2875	9007
242	2888	8997
243	2899	8984
244	2910	8970
245	2923	8959
246	2935	8950
247	2947	8938
248	2959	8925
249	2970	8911
250	2982	8899
251	2993	8884
252	3004	8871
253	3015	8857
254	3027	8844
255	3038	8830
256	3050	8818
257	3061	8804
258	3073	8792
259	3085	8780
260	3097	8769
261	3108	8756
262	3120	8743
263	3132	8732
264	3143	8718
265	3154	8705
266	3165	8691
267	3177	8677
268	3188	8664
269	3199	8651
270	3210	8637
271	3222	8623
272	3234	8612
273	3245	8599
274	3256	8586
275	3268	8574
276	3281	8563
277	3292	8552
278	3306	8544
279	3317	8531
280	3329	8518
281	3340	8505
282	3351	8492
283	3363	8479
284	3374	8465
285	3385	8452
286	3397	8440
287	3408	8426
288	3419	8413
289	3431	8400
290	3443	8391
291	3455	8379
292	3467	8367
293	3479	8355
294	3490	8342
295	3502	8330
296	3513	8317
297	3524	8303
298	3536	8291
299	3548	8280
300	3561	8270
301	3573	8259
302	3586	8250
303	3598	8238
304	3610	8226
305	3622	8215
306	3633	8202
307	3644	8188
308	3655	8175
309	3666	8161
310	3678	8148
311	3689	8136
312	3700	8122
313	3711	8108
314	3723	8097
315	3735	8086
316	3747	8073
317	3759	8062
318	3771	8050
319	3782	8037
320	3794	8026
321	3806	8014
322	3817	8002
323	3829	7989
324	3841	7979
325	3853	7966
326	3864	7953
327	3875	7940
328	3887	7929
329	3899	7917
330	3911	7905
331	3923	7893
332	3934	7880
333	3945	7867
334	3956	7854
335	3967	7840
336	3979	7828
337	3990	7816
338	4002	7803
339	4013	7791
340	4025	7778
341	4036	7766
342	4050	7758
343	4062	7746
344	4074	7735
345	4085	7723
346	4097	7710
347	4108	7697
348	4120	7685
349	4130	7671
350	4143	7660
351	4154	7647
352	4165	7634
353	4176	7622
354	4188	7609
355	4200	7598
356	4212	7588
357	4224	7576
358	4236	7563
359	4247	7550
360	4259	7539
361	4270	7527
362	4282	7514
363	4294	7502
364	4306	7492
365	4318	7480
366	4330	7469
367	4341	7456
368	4353	7444
369	4366	7434
370	4378	7423
371	4390	7411
372	4402	7399
373	4413	7388
374	4425	7375
375	4436	7363
376	4448	7351
377	4460	7339
378	4471	7326
379	4483	7314
380	4494	7302
381	4506	7290
382	4518	7279
383	4530	7268
384	4543	7257
385	4555	7245
386	4566	7232
387	4577	7220
388	4589	7208
389	4600	7195
390	4612	7183
391	4622	7169
392	4634	7158
393	4645	7144
394	4656	7132
395	4668	7120
396	4679	7107
397	4691	7095
398	4702	7083
399	4714	7072
400	4726	7060
401	4738	7048
402	4749	7036
403	4761	7023
404	4772	7011
405	4784	6999
406	4796	6988
407	4808	6976
408	4820	6965
409	4832	6954
410	4844	6942
411	4857	6932
412	4868	6920
413	4880	6908
414	4891	6895
415	4903	6883
416	4914	6871
417	4925	6858
418	4937	6846
419	4948	6834
420	4960	6822
421	4971	6809
422	4982	6796
423	4994	6784
424	5005	6772
425	5017	6759
426	5029	6749
427	5041	6738
428	5054	6727
429	5066	6715
430	5077	6702
431	5088	6690
432	5100	6679
433	5112	6666
434	5123	6654
435	5134	6642
436	5145	6629
437	5158	6619
438	5170	6607
439	5181	6595
440	5193	6583
441	5205	6571
442	5216	6558
443	5227	6546
444	5239	6534
445	5250	6522
446	5261	6509
447	5273	6497
448	5285	6486
449	5298	6475
450	5309	6463
451	5321	6452
452	5333	6439
453	5344	6427
454	5355	6415
455	5367	6403
456	5378	6390
457	5389	6378
458	5401	6366
459	5412	6353
460	5423	6341
461	5436	6330
462	5447	6318
463	5459	6306
464	5471	6295
465	5483	6283
466	5494	6270
467	5505	6258
468	5517	6246
469	5529	6235
470	5540	6223
471	5552	6211
472	5563	6199
473	5574	6186
474	5587	6175
475	5599	6163
476	5611	6152
477	5623	6141
478	5635	6129
479	5646	6117
480	5657	6104
481	5668	6092
482	5680	6080
483	5691	6067
484	5702	6055
485	5713	6043
486	5726	6032
487	5738	6020
488	5750	6008
489	5762	5997
490	5775	5987
491	5787	5975
492	5799	5964
493	5813	5954
494	5825	5943
495	5836	5931
496	5848	5919
497	5860	5907
498	5871	5894
499	5882	5882
500	5893	5870
501	5906	5859
502	5918	5847
503	5930	5836
504	5941	5824
505	5953	5812
506	5964	5800
507	5976	5788
508	5987	5775
509	5998	5763
510	6010	5751
511	6021	5739
512	6033	5727
513	6044	5715
514	6057	5704
515	6068	5692
516	6080	5680
517	6092	5669
518	6104	5657
519	6115	5644
520	6126	5632
521	6138	5620
522	6149	5608
523	6160	5596
524	6171	5583
525	6183	5571
526	6193	5559
527	6205	5547
528	6217	5535
529	6229	5523
530	6241	5512
531	6252	5500
532	6263	5488
533	6274	5475
534	6285	5463
535	6296	5450
536	6308	5438
537	6319	5426
538	6330	5414
539	6342	5402
540	6353	5390
541	6364	5378
542	6376	5366
543	6387	5354
544	6400	5343
545	6411	5331
546	6423	5319
547	6434	5307
548	6445	5295
549	6458	5283
550	6469	5271
551	6480	5259
552	6491	5247
553	6502	5235
554	6514	5223
555	6526	5211
556	6538	5200
557	6550	5188
558	6561	5176
559	6572	5164
560	6583	5151
561	6594	5139
562	6605	5127
563	6617	5115
564	6629	5103
565	6641	5092
566	6652	5080
567	6663	5067
568	6675	5056
569	6686	5044
570	6698	5032
571	6711	5021
572	6722	5009
573	6734	4997
574	6747	4987
575	6759	4975
576	6771	4964
577	6785	4953
578	6797	4942
579	6810	4931
580	6821	4919
581	6832	4907
582	6844	4895
583	6855	4883
584	6867	4872
585	6879	4859
586	6889	4847
587	6901	4835
588	6912	4823
589	6923	4811
590	6934	4799
591	6946	4787
592	6957	4775
593	6969	4763
594	6980	4751
595	6991	4739
596	7004	4728
597	7016	4716
598	7028	4705
599	7040	4693
600	7051	4681
601	7063	4669
602	7074	4657
603	7086	4646
604	7097	4633
605	7108	4621
606	7120	4609
607	7131	4598
608	7142	4585
609	7153	4573
610	7165	4561
611	7177	4550
612	7189	4538
613	7201	4527
614	7213	4515
615	7224	4503
616	7235	4491
617	7247	4480
618	7258	4467
619	7270	4455
620	7281	4443
621	7292	4431
622	7303	4419
623	7315	4408
624	7327	4396
625	7338	4384
626	7350	4373
627	7362	4361
628	7374	4349
629	7385	4337
630	7397	4325
631	7408	4313
632	7419	4301
633	7431	4290
634	7442	4278
635	7454	4266
636	7466	4255
637	7479	4243
638	7490	4231
639	7501	4219
640	7513	4207
641	7524	4196
642	7535	4183
643	7546	4171
644	7558	4159
645	7568	4147
646	7580	4135
647	7591	4123
648	7602	4111
649	7614	4099
650	7625	4088
651	7637	4076
652	7649	4064
653	7661	4053
654	7676	4043
655	7687	4031
656	7698	4019
657	7710	4007
658	7722	3995
659	7734	3984
660	7745	3972
661	7759	3961
662	7770	3949
663	7783	3938
664	7797	3927
665	7809	3916
666	7821	3905
667	7833	3893
668	7844	3881
669	7856	3869
670	7868	3858
671	7880	3846
672	7891	3834
